"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"FSI-threshold-check"
"07/25/2026 15:56:20:404 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","fsi-threshold","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"1","true","0.2","0.1","1.02","0.627","0.75","82","67.13836973276238","23.01776639226863","0.29453853693256277"
"3","true","0.2","0.1","1.02","0.627","0.75","151","90.29403333884498","29.13878786257697","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","83","65.37830908098223","22.674470774199264","0.26580323891158225"
"3","true","0.2","0.1","1.02","0.627","0.75","152","90.5389238607799","29.12937291852562","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","84","62.67442605603774","21.71173818251512","0.26580323891158225"
"3","true","0.2","0.1","1.02","0.627","0.75","153","90.80830246232962","29.315736863718286","0.2920388401686632"
"2","true","0.2","0.1","1.02","0.627","0.75","2","0","0","0.6452327998007585"
"1","true","0.2","0.1","1.02","0.627","0.75","85","62.663166865883454","21.776513501654247","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","154","90.8858664673528","29.315642447077177","0.3437844704006784"
"1","true","0.2","0.1","1.02","0.627","0.75","86","63.01518839683237","21.775955569992156","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","155","93.35268599175214","29.425807639048568","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","87","63.34863842787383","22.013389975169037","0.3280542454022294"
"3","true","0.2","0.1","1.02","0.627","0.75","156","93.35525500474995","29.593359996382013","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","88","63.320664470830984","21.912820174310063","0.36477802456955866"
"1","true","0.2","0.1","1.02","0.627","0.75","89","69.85435521606576","22.161388698758085","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","90","67.6217798078509","21.575679861017807","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","91","67.32319770229466","21.59855632291994","0.23512500000000003"
"4","true","0.2","0.1","1.02","0.627","0.75","0","0","0","1"
"4","true","0.2","0.1","1.02","0.627","0.75","1","0","0","1"
"4","true","0.2","0.1","1.02","0.627","0.75","2","0","0","0.7935299531174576"
"4","true","0.2","0.1","1.02","0.627","0.75","3","0","0","0.6271203100944376"
"4","true","0.2","0.1","1.02","0.627","0.75","4","0","0","0.6271203100944376"
"4","true","0.2","0.1","1.02","0.627","0.75","5","0","0","0.6919669834526663"
"2","true","0.2","0.1","1.02","0.627","0.75","3","0","0","0.5438648990537329"
"1","true","0.2","0.1","1.02","0.627","0.75","92","67.65377021845329","22.55053029937684","0.23512500000000003"
"4","true","0.2","0.1","1.02","0.627","0.75","6","0","0","0.7638587593600024"
"1","true","0.2","0.1","1.02","0.627","0.75","93","67.2150922620364","22.36338662809842","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","94","70.56404656304157","22.544319559052667","0.23512500000000003"
