"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E1-shock-decomposition"
"07/25/2026 15:08:26:337 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","fertilizer-shock","fuel-shock","panic-rate","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[demand] of one-of consumers"
"2","1","1","1","false","100","44.203762294900855","18.657587481899178","0.5402873681714361","43.266383741240475"
"3","1","1","1","false","95","49.88350212678436","18.781044238521662","0.5740209885645272","50.08956822858658"
"2","1","1","1","false","101","43.79581924920354","18.480972825785127","0.6336099210361902","59.424724312755856"
"3","1","1","1","false","96","49.897489572735246","18.987229150642815","0.5740209885645272","47.15536744774598"
"2","1","1","1","false","102","44.40664402867795","18.662737106511866","0.6336099210361902","46.7564343532478"
"3","1","1","1","false","97","48.00967015403035","18.395204049107587","0.5740209885645272","30.088805690223182"
"2","1","1","1","false","103","44.449020787789074","18.876293062532756","0.5146665235701255","52.861312579180485"
"3","1","1","1","false","98","46.92622201423108","18.636463472384772","0.5740209885645272","65.90836705713171"
"2","1","1","1","false","104","43.67889335539583","18.485026935342677","0.5007772195323537","34.87186090359868"
"3","1","1","1","false","99","46.754550602418284","18.55679144904299","0.5413752966966986","56.39482477728951"
"2","1","1","1","false","105","43.650999401324285","18.596073433660546","0.502889548697475","42.67663760573647"
"3","1","1","1","false","100","46.34554360056914","18.599477788112438","0.7120662620421452","59.270580836050726"
"2","1","1","1","false","106","42.88225837399843","18.213893009766313","0.7248432605093797","64.02017981250307"
"3","1","1","1","false","101","46.43166498293859","18.612842091520346","0.6332810861354653","54.93258090246459"
"2","1","1","1","false","107","47.122398092968446","18.499700470482225","0.5266071738752605","59.776145524495604"
"3","1","1","1","false","102","46.52324055319742","18.68609541807512","0.6332810861354653","45.23994446456179"
"2","1","1","1","false","108","47.14673496125243","18.63987536720735","0.5266071738752605","54.641106098767516"
"3","1","1","1","false","103","45.84425240021278","18.535033300807108","0.6688015618543411","36.37790353890838"
"2","1","1","1","false","109","47.076977636195764","18.731286921379713","0.5266071738752605","56.710724059669644"
"3","1","1","1","false","104","45.96013481489535","18.699145395255346","0.7793483748097836","54.12182837019823"
"3","1","1","1","false","105","48.22147156659467","19.40616844305863","0.6253726684655524","58.07617848928953"
"2","1","1","1","false","110","45.649801385659664","18.60672117087941","0.5266071738752605","30.456775602721727"
"3","1","1","1","false","106","46.20976832462102","18.601972975055588","0.6158099513508688","71.20008979210158"
"2","1","1","1","false","111","45.45889139459748","18.525972109648833","0.5199267500098957","57.26944486333228"
"3","1","1","1","false","107","46.39036838601852","18.78944527069136","0.6139188962443823","51.96959881043723"
"2","1","1","1","false","112","47.221634738590716","18.596040833287788","0.5267658897479903","41.45517057024506"
"2","1","1","1","false","113","47.31406950681328","18.62193218396363","0.5267658897479903","53.40901962830998"
"3","1","1","1","false","108","45.90712179433383","18.670360111072338","0.6139188962443823","37.89172833158452"
