"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"government-comparison"
"07/25/2026 14:37:30:554 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[production-capacity] of one-of farmers"
"86","false","156","47.38363835012845","18.929817403524172","0.27529344047314486","49.650000000000006"
"87","false","156","45.95920103183236","15.566922468169478","0.2645010722365142","49.650000000000006"
"88","false","156","33.30385729055107","15.550740923075537","0.27385599638887775","49.650000000000006"
"89","false","156","45.54927852471078","21.064809720230496","0.271127685379582","49.650000000000006"
"90","false","156","35.832002293043594","14.341287587635355","0.3818997570597052","49.650000000000006"
"91","false","156","47.83892408924568","18.494691023806165","0.37788683574807036","49.650000000000006"
"93","false","156","54.5603290968361","20.500548512100426","0.38166742764507783","49.650000000000006"
"92","false","156","44.68876547075445","19.94491850775865","0.3809158662702827","49.650000000000006"
"94","false","156","44.767225048249394","20.62915018968757","0.28542794783311365","49.650000000000006"
"95","false","156","39.36226357278191","17.26133620279515","0.2863928870452971","49.650000000000006"
"96","false","156","50.79913689087508","19.873119626741147","0.3068576866451945","49.650000000000006"
"97","false","156","51.18375028036267","20.400240123822197","0.32357990444849116","49.650000000000006"
"98","false","156","52.708659654841505","20.52622797833743","0.37987899089819904","49.650000000000006"
"99","false","156","54.99551635968088","19.846936998453938","0.2539530832662959","49.650000000000006"
"100","false","156","45.28124055999751","15.98029888880192","0.25966912251787827","49.650000000000006"
"1","true","156","22.044352780109136","8.369551862290367","0.25338239058559353","49.650000000000006"
