"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E2-intervention-returns-panic"
"07/25/2026 15:55:12:733 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"3","true","0","1","0.627","0.75","75","21.748398890905538","9.052052729883716","0.23595159698407897"
"2","true","0","1","0.627","0.75","72","43.90969381975821","11.69121586525541","0.35268750000000004"
"3","true","0","1","0.627","0.75","76","21.634779308877594","8.944180138116813","0.23512500000000003"
"3","true","0","1","0.627","0.75","77","21.601533656845994","8.921444129131034","0.23512500000000003"
"2","true","0","1","0.627","0.75","73","43.93570542299938","11.745175520337542","0.3288101794232704"
"3","true","0","1","0.627","0.75","78","21.405097287374094","8.852032071755715","0.23512500000000003"
"2","true","0","1","0.627","0.75","74","44.12975472929486","11.751173344428395","0.4289419315636288"
"3","true","0","1","0.627","0.75","79","21.346217806857425","8.892623817611303","0.23512500000000003"
"3","true","0","1","0.627","0.75","80","21.24346036260166","8.903943520254474","0.23512500000000003"
"3","true","0","1","0.627","0.75","81","21.5243904651704","9.091668019136094","0.35268750000000004"
"2","true","0","1","0.627","0.75","75","44.19844357326366","11.730901113873538","0.29740343356386245"
"3","true","0","1","0.627","0.75","82","21.701767855687635","9.05072870558441","0.4376098913226219"
